Core Idea / Concept	Sub-Concept / Tag	Problem Name	Type	Platform	URL	Technique / Pattern	Complexity / Optimization	Difficulty	Status	Notes
Complete Binary Tree	Height vs Right Height	Count Complete Tree Nodes	Main Problem	LeetCode	https://leetcode.com/problems/count-complete-tree-nodes/	Compare left/right heights; perfect-tree shortcut; binary-search last level	O(log^2 n)	Medium		
Complete Binary Tree	Height vs Right Height	Count number of nodes in a complete Binary Tree	Related Practice	GeeksforGeeks	https://www.geeksforgeeks.org/dsa/count-number-of-nodes-in-a-complete-binary-tree/	Divide by height; treat perfect subtrees	O(log^2 n)	Medium		
Complete Binary Tree	Binary Search on Last Level	Count Complete Binary Tree Nodes	Related Practice	Code360	https://www.naukri.com/code360/problem-details/count-complete-binary-tree-nodes_982774	Binary search the last level using implicit indices	O(log^2 n)	Medium		
Complete Binary Tree	Concept / Reference	How to count the number of nodes in a complete binary tree	Concept	Code360 (Library)	https://www.naukri.com/code360/library/how-to-count-the-number-of-nodes-in-a-complete-binary-tree	Overview of approaches (height comparison, last-level binary search)	-	-		
Complete Binary Tree	Null-Gap Rule	Check Completeness of a Binary Tree	Main Problem	LeetCode	https://leetcode.com/problems/check-completeness-of-a-binary-tree/	BFS; after a NULL, no non-NULL allowed	O(n)	Medium		
Complete Binary Tree	Null-Gap Rule	Check if a given Binary Tree is a Complete Binary Tree	Related Practice	GeeksforGeeks	https://www.geeksforgeeks.org/dsa/check-if-a-given-binary-tree-is-complete-tree-or-not/	Level-order with NULL position check	O(n)	Easy		
Complete Binary Tree	Practice	Complete Binary Tree (Practice)	Main Problem	GeeksforGeeks (Practice)	https://www.geeksforgeeks.org/problems/complete-binary-tree/1	Array/queue check for completeness	O(n)	Easy		
Complete Binary Tree	Implicit Index / Heap-like	Complete Binary Tree Inserter	Related Practice	LeetCode	https://leetcode.com/problems/complete-binary-tree-inserter/	Maintain queue of insertion candidates; array/heap indexing idea	O(1) amortized insert	Medium		
Complete Binary Tree	Implicit Index / Path Ops	Paths in a Complete Binary Tree	Related Practice	Codeforces 792D	https://codeforces.com/problemset/problem/792/D	Binary/bit tricks over heap indices; L/R/U moves	O(|S|) per query	1900		
Complete Binary Tree	Distance on CBT	E - Complete Binary Tree	Related Practice	AtCoder ABC321E	https://atcoder.jp/contests/abc321/tasks/abc321_e	Implicit parent/child math with indices; count nodes at distance K	O(log N) arithmetic	AtCoder E (mid-hard)		
Complete Binary Tree	Move Ops on Indices	D - Moves on Binary Tree	Related Practice	AtCoder ABC243D	https://atcoder.jp/contests/abc243/tasks/abc243_d	Process U/L/R with stack-like cancels; implicit heap indexing	O(N) over moves	AtCoder D (medium)		
Complete Binary Tree	Definition/Properties	Complete Binary Tree – Properties	Concept	GeeksforGeeks	https://www.geeksforgeeks.org/dsa/complete-binary-tree/	Height/log relations; size bounds	-	-		
Complete Binary Tree	CBT Problem	CBINARYT - Complete Binary Tree	Related Practice	SPOJ	https://www.spoj.com/problems/CBINARYT/	Complete binary tree structure reasoning	-	Classical		
Complete/Full Binary Tree	Game/DP on Tree	TREEGAME	Related Practice	SPOJ	https://www.spoj.com/problems/TREEGAME/	Bottom-up DP over complete binary tree	Varies	Hard		
